date;time;temperature_F;wind_speed_mph;relative_humidity_percent;solar_radiation_W_sqm;precipitation_inches
6/19/21;8:15 AM;56.9;0.1;100.0;381.3;*
6/19/21;8:30 AM;57.9;0.1;100.0;418.9;*
6/19/21;8:45 AM;59.7;0.1;99.5;473.1;*
6/19/21;9:00 AM;61.7;0.2;92.7;526.1;*
6/19/21;9:15 AM;63.0;0.1;86.2;579.7;*
6/19/21;9:30 AM;63.9;0.1;82.5;631.4;*
6/19/21;9:45 AM;65.8;0.8;78.8;682.8;*
6/19/21;10:00 AM;67.7;2.4;75.2;730.6;*
6/19/21;10:15 AM;69.7;2.6;70.4;775.0;*
6/19/21;10:30 AM;71.6;2.3;67.1;812.8;*
6/19/21;10:45 AM;73.0;3.0;64.7;851.6;*
6/19/21;11:00 AM;74.0;2.8;63.7;883.0;*
6/19/21;11:15 AM;74.6;3.7;62.6;915.2;*
6/19/21;11:30 AM;75.0;3.6;61.6;941.2;*
6/19/21;11:45 AM;75.5;3.7;60.4;961.7;*
6/19/21;12:00 PM;76.1;4.3;59.7;980.8;*
6/19/21;12:15 PM;77.1;4.2;58.2;993.8;*
6/19/21;12:30 PM;77.5;4.0;57.8;1001.4;*
6/19/21;12:45 PM;78.0;4.8;56.6;1006.5;*
6/19/21;1:00 PM;78.0;4.7;56.8;1008.1;*
6/19/21;1:15 PM;78.0;4.2;56.7;1007.3;*
6/19/21;1:30 PM;78.2;4.3;57.0;1004.6;*
6/19/21;1:45 PM;78.6;4.5;56.6;995.8;*
6/19/21;2:00 PM;76.8;6.1;57.8;985.1;*
6/19/21;2:15 PM;76.6;4.9;59.1;972.3;*
6/19/21;2:30 PM;76.7;5.1;59.4;953.3;*
6/19/21;2:45 PM;75.9;5.2;59.5;930.5;*
